Datetime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Positive imbalance price,Negative imbalance price
2023-01-27T02:45:00+00:00,NV,PT15M,4.834,-6.656,0.0,155.44,63.18,155.44,155.44
2023-01-27T02:30:00+00:00,NV,PT15M,-121.023,127.772,0.0,155.44,51.39,51.39,51.39
2023-01-27T02:15:00+00:00,NV,PT15M,-86.023,86.667,0.0,155.44,80.48,80.48,80.48
2023-01-27T02:00:00+00:00,NV,PT15M,78.847,-81.528,0.0,159.4,80.5,159.4,159.4
2023-01-27T01:45:00+00:00,NV,PT15M,-81.376,60.912,0.0,154.22,-39.34,-39.34,-39.34
2023-01-27T01:30:00+00:00,NV,PT15M,-11.126,35.922,0.0,153.25,67.45,67.45,67.45
2023-01-27T01:15:00+00:00,NV,PT15M,-19.414,30.592,0.0,151.11,49.07,49.07,49.07
2023-01-27T01:00:00+00:00,NV,PT15M,12.679,-47.806,0.0,154.16,25.22,154.16,154.16
2023-01-27T00:45:00+00:00,NV,PT15M,-20.467,49.028,0.0,150.44,42.53,42.53,42.53
2023-01-27T00:30:00+00:00,NV,PT15M,57.085,-53.352,0.0,163.16,66.46,163.16,163.16
2023-01-27T00:15:00+00:00,NV,PT15M,42.002,-33.976,0.0,198.99,66.34,198.99,198.99
2023-01-27T00:00:00+00:00,NV,PT15M,6.317,-26.996,0.0,156.48,35.72,156.48,156.48
2023-01-26T23:45:00+00:00,NV,PT15M,-114.169,90.278,0.0,155.44,-10.17,-10.17,-10.17
2023-01-26T23:30:00+00:00,NV,PT15M,97.038,-64.578,0.0,293.84,26.51,293.84,293.84
2023-01-26T23:15:00+00:00,NV,PT15M,189.45,-193.88,1.1,155.44,67.6,156.54,156.54
2023-01-26T23:00:00+00:00,NV,PT15M,2.557,-30.705,0.0,155.44,43.92,155.44,155.44
,D,PT15M,,,,,,,
